policy,subject_hash,fold,step,action,true_class,modal_class,posterior_entropy,info_gain_step,info_gain_cumulative,decision_argmax,decision_correct,alpha_neg,alpha_neu,alpha_pos
T_only,4fc82b26aecb47d2,0,5,T_only,2,2,1.0600693498166944,0.020520366980706584,0.038542938851415354,0,0,3.6686860069047857,1.8740409629977972,2.457273030097417
T_only,4fc82b26aecb47d2,0,6,T_only,2,2,1.038241348261212,0.021828001555482368,0.06037094040689772,0,0,4.445258936003759,1.9385628911748194,2.6161781728214213
T_only,4fc82b26aecb47d2,0,7,T_only,2,2,1.017096118477406,0.021145229783805952,0.08151617019070367,0,0,5.2218318651027325,2.0030848193518414,2.7750833155454258
T_only,4fc82b26aecb47d2,0,8,T_only,0,2,1.0345663866850925,-0.01747026820768638,0.0640459019830173,0,0,5.488981947564945,2.3353597767698515,3.175658275665204
T_only,4fc82b26aecb47d2,0,9,T_only,2,2,1.0170257297914105,0.017540656893682005,0.0815865588766993,0,0,6.265554876663918,2.3998817049468735,3.3345634183892083
T_only,4fc82b26aecb47d2,0,10,T_only,1,2,1.021794719857281,-0.004768990065870504,0.0768175688108288,0,0,6.689749909786232,2.6062427795597447,3.704007310654023
EDT_full,4fc82b26aecb47d2,0,1,EDT_full,2,2,1.0567936726614184,0.04181861600669112,0.041818616006691345,0,0,1.8930519480775372,1.0645979045236988,1.042350147398764
EDT_full,4fc82b26aecb47d2,0,2,EDT_full,0,2,1.0091270443180642,0.04766662834335422,0.08948524435004557,0,0,2.6856492608609797,1.2672545856130881,1.0470961535259324
EDT_full,4fc82b26aecb47d2,0,3,EDT_full,1,2,1.0230944383661869,-0.013967394048122639,0.07551785030192293,0,0,2.9009928904898596,2.0507731860735214,1.0482339234366194
EDT_full,4fc82b26aecb47d2,0,4,EDT_full,1,2,1.0108354509860282,0.012258987380158626,0.08777683768208155,0,0,3.1163365201187396,2.8342917865339547,1.0493716933473063
EDT_full,4fc82b26aecb47d2,0,5,EDT_full,2,2,0.9858457593379478,0.024989691648080403,0.11276652933016196,0,0,4.009388468196277,2.898889691057654,1.0917218407460703
EDT_full,4fc82b26aecb47d2,0,6,EDT_full,2,2,0.9577035307558512,0.028142228582096585,0.14090875791225854,0,0,4.902440416273814,2.963487595581353,1.1340719881448342
EDT_full,4fc82b26aecb47d2,0,7,EDT_full,2,2,0.9296653761114868,0.028038154644364432,0.16894691255662297,0,0,5.795492364351351,3.028085500105052,1.1764221355435982
EDT_full,4fc82b26aecb47d2,0,8,EDT_full,0,2,0.9064695118533767,0.023195864258110155,0.19214277681473313,0,0,6.588089677134794,3.230742181194441,1.1811681416707667
EDT_full,4fc82b26aecb47d2,0,9,EDT_full,2,2,0.8822828848855557,0.024186626967820923,0.21632940378255405,0,0,7.481141625212331,3.29534008571814,1.2235182890695306
EDT_full,4fc82b26aecb47d2,0,10,EDT_full,1,2,0.8965626788304434,-0.014279793944887653,0.2020496098376664,0,0,7.69648525484121,4.078858686178573,1.2246560589802176
random,4fc82b26aecb47d2,0,1,EDT_full,2,2,1.0567936726614184,0.04181861600669112,0.041818616006691345,0,0,1.8930519480775372,1.0645979045236988,1.042350147398764
random,4fc82b26aecb47d2,0,2,E_only,0,2,1.0432021138364598,0.01359155882495866,0.055410174831650005,0,0,2.3964263483066017,1.5563273912124942,1.0472462604809039
random,4fc82b26aecb47d2,0,3,T_only,1,2,1.05551072362806,-0.012308609791600311,0.043101565040049694,0,0,2.8206213814289156,1.7626884658253652,1.4166901527457187
random,4fc82b26aecb47d2,0,4,EDT_full,1,2,1.0535921051837174,0.0019186184443427123,0.045020183484392406,0,0,3.0359650110577956,2.546207066285798,1.4178279226564057
